# Constructed from biom file
#OTU ID	HBC	HCY	HY	HCN	C2_M	HAK	HCB	HCT	HBD	HAD	C10_M	HBI	C23_M	C13_M	C3_M	HCH	C24_M	HT	HDE	HCW	HK	C22_M	HCA	HF	HDB	C6_M	HCR	HAF	HBH	HBZ	HBJ	HAV	HBY	HM	HBR	HO	C19_M	HJ	HCJ	HAZ	HBL	HZ	HQ	HCQ	HDC	C9_M	C16_M	HP	HR	HCP	HL	HBG	HE	HAO	HAN	C7_M	HAE	HN	HU	HA	HAR	HAC	HCK	HAX	C4_M	C15_M	HCZ	HBB	HAL	HCO	HAG	HI	HDD	HDA	HBE	HBA	HBM	C14_M	HBF	HW	HCM	HBK	HC	HD	HG	HAA	C5_M	HAB	HAI	HBW	HAM	HCF	HAJ	C25_M	HBV	HAT	HCV	HCI	HAU	HCL	HS	HB	HCD	HCU	HAH	HAP	HV	HDF
2fecdf5a464033ae18cadfa9c8870888	0	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0	0	3	15	0	0	0	15	0	0	0	0	0	0	0	0	0	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	208	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
67ed4e9ab0b9956bb69ae11b9df79c76	0	0	0	0	0	9	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2501	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77fac9d0f242af76e8630df8b56f821c	0	0	0	0	0	8	0	0	0	0	0	0	0	0	6	0	0	0	143	0	0	0	0	0	0	0	0	0	39	0	543	5	0	200	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	4	0	0	0	0	0	0	62	0	0	5	56	0	40	0	76	0	0	5	0	0	0	0	207	42	0	74	0	0	0	0	0	0	0	0	0	0	29	0	599	11	0	1	0	0	0	0	10	0	3673	0
ba6416dc326cfb1f50ef97fde566752a	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0
661e9b4fcf71fd05f9dac1185a3d2709	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eed13d4962efa415556eaa16a5c8c188	0	0	0	0	0	8	20	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	17	0	0	0	0	0	0	0	0	3	0	0	0	8	0	0	0	0	0	0	268	31	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	18	0	0	0	0	0	0	535	0	0	0	3	0	2	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0
0c877dc952d8a729d8601b4b72af3f52	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	55	0	0	0	0	0	0	2	47	0	45	26	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	82	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	32	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
dbbf92ebc067b64aac433b6941f8f0c7	0	0	0	0	0	7	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	3	13	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	3	0	0	0	0	0	0	0
ae4cd45e36e0e24527dcb1a32b945b3f	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0
47daf49f425fa48a02e0562b58a94391	0	0	0	0	0	7	11	0	0	3	5	0	0	7	0	0	206	0	0	20	0	0	0	0	0	0	7	0	0	18	0	0	12	0	0	0	0	0	7	0	5	0	0	21	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	6	14	0	0	0	0	0	4	0	21	0	0	0	0	0	0	11	0	99	0	0	0	0	0	0	0	2	0
df53cb22f4bb7626f5ff8323f9d5787c	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
27a4fa57960a4ead793fc0a04a437e58	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
ea858f0d61153daebc854656c247efc1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
730d12d6f38f6df33b5240ade8836506	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
033fd04c3a2e645675ee5efc0d37121e	0	0	0	0	0	5	0	0	1035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bf7370c65336154d18d50389162cba73	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	15	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
7128e23d929e76f8302542bfc5315907	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6fb10aa895683efdafe30689ece8755f	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	2	0	0	0	0	0	17	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	2	0	3	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	25	0	2	0	0	0	0	0	0	0
