	mean_EC
EC:1.2.3.3	0.1647
EC:1.2.4.1	2.3051
EC:1.2.4.2	0.7077
EC:1.2.4.4	0.5636
EC:1.2.5.1	0.4196
EC:1.2.7.1	0.7094
EC:1.2.7.10	0.005
EC:1.2.7.11	0.78445
EC:1.2.7.3	1.0276
EC:1.2.7.4	0.07605
EC:1.2.7.5	0.133
EC:1.2.7.6	0.00575
EC:1.2.7.7	0.0316
EC:1.2.7.8	0.48355
EC:1.2.98.1	0.0115
EC:1.2.99.2	0.9052
EC:1.2.99.5	0.169
EC:1.2.99.7	0.01375
EC:1.2.99.8	0.00595
EC:1.20.1.1	0.0177
EC:1.20.4.1	1.4905
EC:1.20.4.3	0.09
EC:1.20.9.1	0.0232
EC:1.21.1.1	2e-04
EC:1.21.3.1	0.00035
EC:1.21.4.1	0.07985
EC:1.21.4.2	0.12775
EC:1.21.4.4	0.03365
EC:1.21.98.1	0.1037
EC:1.3.1.1	0.30525
EC:1.3.1.10	0.7911
EC:1.3.1.101	0.02835
EC:1.3.1.104	0.05495
EC:1.3.1.105	5e-05
EC:1.3.1.106	0.323
EC:1.3.1.12	0.84155
EC:1.3.1.13	0.0032
EC:1.3.1.14	0.2907
EC:1.3.1.19	0.00085
EC:1.3.1.2	0.00085
EC:1.3.1.20	6e-04
EC:1.3.1.21	0.00315
EC:1.3.1.22	0.02275
EC:1.3.1.24	0.0095
EC:1.3.1.25	0.09885
EC:1.3.1.28	0.228
EC:1.3.1.29	0.0012
EC:1.3.1.31	0.03215
EC:1.3.1.32	0.03565
EC:1.3.1.33	0.0267
EC:1.3.1.34	0.4767
EC:1.3.1.38	7e-04
EC:1.3.1.42	5e-05
EC:1.3.1.43	0.0859
EC:1.3.1.44	0.18645
EC:1.3.1.45	0.03625
EC:1.3.1.49	0.00245
EC:1.3.1.53	0.00125
EC:1.3.1.54	0.323
EC:1.3.1.56	0.0063
EC:1.3.1.58	0.0042
EC:1.3.1.6	0.00225
EC:1.3.1.60	0.0012
EC:1.3.1.62	0.00375
EC:1.3.1.64	0.01085
EC:1.3.1.70	6e-04
EC:1.3.1.71	0.00065
EC:1.3.1.72	9e-04
EC:1.3.1.74	0.01515
EC:1.3.1.75	0.01015
EC:1.3.1.76	0.7764
EC:1.3.1.78	0.0139
EC:1.3.1.83	0.0366
EC:1.3.1.84	0.00655
EC:1.3.1.85	0.0469
EC:1.3.1.86	0.04315
EC:1.3.1.87	0.0584
EC:1.3.1.89	5e-05
EC:1.3.1.9	1.3058
EC:1.3.1.93	1e-04
EC:1.3.1.98	1.0045
EC:1.3.3.11	0.19905
EC:1.3.3.14	0.00625
EC:1.3.3.3	0.48945
EC:1.3.3.4	0.3023
EC:1.3.3.5	0.0272
EC:1.3.3.6	0.09485
EC:1.3.4.1	0.01755
EC:1.3.5.1	1.83915
EC:1.3.5.2	0.6749
EC:1.3.5.3	0.2602
EC:1.3.5.4	2.5712
EC:1.3.5.5	0.01725
EC:1.3.5.6	0.01525
EC:1.3.7.11	0.02835
EC:1.3.7.2	0.00625
EC:1.3.7.3	0.00625
EC:1.3.7.5	0.01405
EC:1.3.7.7	0.1041
EC:1.3.7.8	0.0143
EC:1.3.7.9	0.01095
EC:1.3.8.1	0.29045
EC:1.3.8.10	0.00085
EC:1.3.8.11	6e-04
EC:1.3.8.12	0.04645
EC:1.3.8.2	0.0275
EC:1.3.8.3	0.0021
EC:1.3.8.4	0.2512
EC:1.3.8.6	0.4619
EC:1.3.8.7	1.21355
EC:1.3.8.8	0.0713
EC:1.3.98.1	0.1899
EC:1.3.99.12	0.01105
EC:1.3.99.16	0.6651
EC:1.3.99.22	1.72645
EC:1.3.99.23	0.02565
EC:1.3.99.26	0.2244
EC:1.3.99.27	0.0195
EC:1.3.99.28	0.2244
EC:1.3.99.29	0.2244
EC:1.3.99.30	6e-04
EC:1.3.99.31	0.2244
EC:1.3.99.32	0.01275
EC:1.3.99.33	0.0158
EC:1.3.99.35	0.06295
EC:1.3.99.4	0.0927
EC:1.3.99.5	0.04835
EC:1.3.99.8	0.0492
EC:1.4.1.1	0.69585
EC:1.4.1.11	0.0286
EC:1.4.1.13	1.7537
